Document Key,Name,Category,Description,Typical Account Types,Critical,Active,Notes,Display Order
"doc_corporateResolution","Corporate Resolution","Entity","Resolution authorizing account opening, transacting authority, and the named officers or agents who may act.","ENT",Yes,Yes,"Explicitly required in public corporate account documentation and remains a frequent transition blocker when entity authority is stale.",27
"doc_llcOperatingAgreement","LLC Operating Agreement","Entity","Agreement showing managers, members, authority structure, and operating rules for the LLC.","ENT, ALT",Yes,Yes,"Critical when formation docs alone do not identify who may act or bind the entity.",28
"doc_partnershipAgreement","Partnership Agreement","Entity","Governing agreement for general, limited, or other partnerships.","ENT, ALT",Yes,Yes,"Required whenever partnership authority, ownership, or transfer permissions need to be substantiated.",29
"doc_einConfirmationOrSs4Support","EIN Confirmation or SS-4 Support","Entity","IRS EIN assignment evidence, SS-4 filing support, or comparable TIN documentation for an entity, estate, or trust.","ENT, EST, TRT",Yes,Yes,"Needed whenever the registration uses an entity or estate TIN instead of an individual SSN.",30
"doc_incumbencyOrSecretaryCertificate","Incumbency or Secretary Certificate","Entity","Officer certification identifying who currently holds office and may execute documents.","ENT",Yes,Yes,"Often needed when the resolution is dated, the signers changed, or the custodian needs a current officer attestation.",31
"doc_beneficialOwnershipCertificationForEntities","Beneficial Ownership Certification for Entities","Entity","Certification identifying beneficial owners and control persons of legal-entity customers.","ENT",Yes,Yes,"FinCEN’s CDD framework and Pershing’s disclosure language make beneficial-owner identification a core legal-entity control point.",32
"doc_durablePowerOfAttorney","Durable Power of Attorney","Powers","Legal document authorizing an agent to act on behalf of the principal.","IND, JNT, IRA-T, IRA-R, TRT, ANN",Yes,Yes,"Commonly required before an attorney-in-fact can transact, especially for aging or incapacitated clients.",33
"doc_poaCertificationOrAffidavitOfEffectiveness","POA Certification or Affidavit of Effectiveness","Powers","Supplemental certification confirming that an existing POA remains in force and effective.","IND, JNT, IRA-T, IRA-R, TRT, ANN",Yes,Yes,"LPL and BNY publicly reference POA validation documents where age or form of the POA creates extra review.",34
"doc_guardianshipOrConservatorshipOrder","Guardianship or Conservatorship Order","Powers","Court order establishing a guardian or conservator with authority to act for the protected person.","MIN, IND, IRA-I, TRT",Yes,Yes,"Required when a person lacks legal capacity or a minor beneficiary needs a court-recognized fiduciary.",35
"doc_authorizedAgentOrLimitedTradingAuthorization","Authorized Agent or Limited Trading Authorization","Powers","Limited authority document giving a named third party authority to view, trade, or otherwise act at a defined level.","IND, JNT, IRA-T, IRA-R, ANN",No,Yes,"Schwab and Fidelity both provide distinct authority forms; useful for multi-generational households and transition support teams.",36
"doc_traditionalIraApplicationOrCustodialAgreement","Traditional IRA Application or Custodial Agreement","Retirement","Application and governing custodial agreement for a Traditional or Rollover IRA.","IRA-T",Yes,Yes,"Foundational opening document for a Traditional or Rollover IRA relationship.",37
"doc_rothIraApplicationOrCustodialAgreement","Roth IRA Application or Custodial Agreement","Retirement","Application and governing custodial agreement for a Roth IRA.","IRA-R",Yes,Yes,"Foundational opening document for a Roth IRA relationship.",38
"doc_sepIraAdoptionAgreement","SEP IRA Adoption Agreement","Retirement","Employer or self-employed plan setup document establishing a SEP IRA arrangement.","IRA-T, ENT, PLAN",Yes,Yes,"Required when the household or practice practice transition includes SEP assets or ongoing SEP funding.",39
"doc_simpleIraPlanAdoptionAgreement","SIMPLE IRA Plan Adoption Agreement","Retirement","Employer document establishing a SIMPLE IRA plan.","IRA-T, ENT, PLAN",Yes,Yes,"IRS recognizes Forms 5304-SIMPLE and 5305-SIMPLE as model SIMPLE documents.",40
"doc_ownersOnly401kAdoptionAgreement","Owners-Only 401(k) Adoption Agreement","Retirement","Adoption agreement for an individual or owners-only 401(k).","PLAN",Yes,Yes,"Necessary when the advisor is transitioning plan assets tied to a solo-practice or owner-only plan.",41
"doc_directRolloverOrQualifiedPlanDistributionForm","Direct Rollover or Qualified Plan Distribution Form","Retirement","Plan-level paperwork directing a rollover from a qualified plan to an IRA or successor account.","PLAN, IRA-T, IRA-R",Yes,Yes,"Public transfer materials note that employer plans often require their own rollover paperwork outside the standard brokerage TOA process.",42
"doc_inheritedIraApplication","Inherited IRA Application","Retirement","Application used to open a beneficiary IRA after death.","IRA-I",Yes,Yes,"Fidelity and Schwab both publish specific inherited IRA application paths, including trust and estate variants.",43
"doc_iraBeneficiaryClaimOrDistributionElection","IRA Beneficiary Claim or Distribution Election","Retirement","Beneficiary claim/disclaim or inherited-account election form after the original account owner’s death.","IRA-I",Yes,Yes,"Public LPL and BNY forms treat this as a separate post-death control document, distinct from the inherited IRA application itself.",44
"doc_todOrPodOrNonRetirementBeneficiaryDesignationForm","TOD or POD or Non-Retirement Beneficiary Designation Form","Beneficiary","Form naming beneficiaries for a taxable individual or joint account using TOD/POD or similar non-retirement registration.","IND, JNT",No,Yes,"Estate-planning important, but not universally required for account opening. Transition methodology should still track it because it materially affects death-processing readiness.",45
"doc_iraOrRetirementBeneficiaryDesignationForm","IRA or Retirement Beneficiary Designation Form","Beneficiary","Form naming primary and contingent beneficiaries for IRAs and other retirement accounts.","IRA-T, IRA-R, IRA-I, PLAN",No,Yes,"Public custodian materials and retirement guidance consistently treat beneficiary designations as separate plan/account records.",46
"doc_spousalConsentForBeneficiaryElection","Spousal Consent for Beneficiary Election","Beneficiary","Spouse’s notarized or plan-witnessed consent when the participant names someone other than the spouse where plan or law requires it.","PLAN, some IRA contexts",Yes,Yes,"Fidelity’s qualified-plan beneficiary material expressly requires spousal consent in plans where spouse default rights apply.",47
"doc_customBeneficiaryAddendumOrPerStirpesInstructions","Custom Beneficiary Addendum or Per Stirpes Instructions","Beneficiary","Separate addendum or custom designation language used for complex beneficiary structures, additional beneficiaries, or per stirpes/per capita instructions.","IND, JNT, IRA-T, IRA-R, PLAN, TRT",No,Yes,"Public Schwab and Fidelity materials allow additional or more complex beneficiary language outside a simple default grid.",48
"doc_advisoryAgreementOrInvestmentManagementAgreement","Advisory Agreement or Investment Management Agreement","Advisory","Core client contract for investment advisory services, including scope, authority, and fee terms.","IND, JNT, TRT, ENT, IRA-T, IRA-R",Yes,Yes,"SEC brochure rules and advisory program agreements make the advisory agreement a foundational document for the advisory relationship.",49
"doc_managedAccountOrAdvisoryProgramEnrollment","Managed Account or Advisory Program Enrollment","Advisory","Enrollment form placing the account into a specific advisory or wrap program.","IND, JNT, TRT, ENT, IRA-T, IRA-R",Yes,Yes,"Public Schwab advisory agreement materials distinguish standard custody from advisory program enrollment.",50
"doc_investmentPolicyStatement","Investment Policy Statement","Advisory","Written portfolio-governance and implementation document specifying objectives, constraints, and monitoring expectations.","IND, JNT, TRT, ENT, PLAN",No,Yes,"Not universally required, but a strong transition-readiness record because it stabilizes portfolio conversion and post-move implementation. Fidelity and Schwab both discuss IPS use in advisory/plan contexts.",51
"doc_riskToleranceOrInvestorProfileQuestionnaire","Risk Tolerance or Investor Profile Questionnaire","Advisory","Client profile document capturing goals, time horizon, risk tolerance, and related suitability inputs.","IND, JNT, TRT, ENT, IRA-T, IRA-R, PLAN",No,Yes,"Commonly embedded in advisory onboarding and ongoing suitability review. Public Schwab and Fidelity materials explicitly reference investor profile and risk data.",52
"doc_discretionaryTradingAuthorization","Discretionary Trading Authorization","Advisory","Document granting the advisor discretion to place trades within the agreed mandate.","IND, JNT, TRT, ENT, IRA-T, IRA-R",Yes,Yes,"Critical whenever the destination relationship is discretionary rather than client-directed.",53
"doc_advisoryFeeBillingAuthorization","Advisory Fee Billing Authorization","Advisory","Separate fee-debit or billing authorization used when not fully embedded in the advisory contract.","IND, JNT, TRT, ENT, IRA-T, IRA-R",No,Yes,"Operationally important for clean fee debits and billing continuity, though some programs bake this into the main agreement.",54
"doc_formAdvOrFormCrsDeliveryRecord","Form ADV or Form CRS Delivery Record","Compliance","Record that the client received required advisory disclosures and relationship summary.","IND, JNT, TRT, ENT, IRA-T, IRA-R",No,Yes,"Compliance-critical for the firm and advisor, but usually system-captured rather than a transfer hard stop.",55
"doc_amlOrSourceOfFundsQuestionnaire","AML or Source-of-Funds Questionnaire","Compliance","Additional due-diligence questionnaire used to understand the nature and purpose of the relationship and, where warranted, source of funds or source of wealth.","IND, JNT, TRT, ENT, ANN, ALT",No,Yes,"Heightened-review document rather than a universal opening item, but important for flagged clients and private/alternative flows.",56
"doc_pepOrSanctionsOrForeignAffiliationAttestation","PEP or Sanctions or Foreign Affiliation Attestation","Compliance","Additional attestation used to identify politically exposed persons, sanctioned-party exposure, or foreign affiliation risk.","IND, JNT, TRT, ENT, ANN, ALT",No,Yes,"Triggered by risk profile rather than every household; OFAC and FINRA materials support this as a due-diligence domain.",57
"doc_alternateCipDocumentationOrExceptionRequest","Alternate CIP Documentation or Exception Request","Compliance","Exception form or alternative-document request used when standard government ID is unavailable or cannot be verified in the normal way.","IND, JNT, MIN, EST",No,Yes,"LPL publicly lists a specific request to accept alternative documentation for CIP, which is precisely the type of edge-case document that delays transitions if absent.",58
"doc_individualOrJointBrokerageApplication","Individual or Joint Brokerage Application","Custodial","Core application used to open a taxable brokerage account for one or more individual owners.","IND, JNT",Yes,Yes,"Front-door document for destination-custodian onboarding. Schwab, Fidelity, and LPL all publish direct account-opening forms or online equivalents.",59
"doc_trustAccountApplication","Trust Account Application","Custodial","Custodian account-opening document specific to trust registrations.","TRT",Yes,Yes,"Separate from the trust agreement itself; this is the receiving-account setup document.",60
"doc_entityOrBusinessAccountApplication","Entity or Business Account Application","Custodial","Custodian setup document for corporations, LLCs, partnerships, and other legal entities.","ENT",Yes,Yes,"Distinct from entity evidence documents and necessary for destination-account creation.",61
"doc_retirementAccountApplication","Retirement Account Application","Custodial","Receiving-custodian application for a retirement account where the destination account itself must be opened before assets move.","IRA-T, IRA-R, IRA-I, PLAN",Yes,Yes,"Separate from plan adoption or beneficiary forms; needed to establish the receiving retirement registration.",62
"doc_transferOfAssetsOrAcatsForm","Transfer of Assets or ACATS Form","Custodial","Standard customer account transfer instruction for ACATS-eligible assets moving broker-to-broker.","IND, JNT, IRA-T, IRA-R, TRT, ENT",Yes,Yes,"FINRA Rule 11870 and ACATS govern this core transfer path. Custodians and clearing firms publish dedicated TOA or transfer forms.",63
"doc_nonAcatTransferOrInsuranceOrMutualFundTransferForm","Non-ACAT Transfer or Insurance or Mutual Fund Transfer Form","Custodial","Transfer instruction used when assets are not ACATS eligible, including mutual-fund, insurance, or certain retirement product transfers.","IND, JNT, IRA-T, IRA-R, ANN, ALT",Yes,Yes,"Necessary for assets outside the standard ACATS lane; Schwab and Fidelity both distinguish these from plain brokerage transfers.",64
"doc_changeOfRegistrationOrOwnershipForm","Change of Registration or Ownership Form","Custodial","Form changing account title, ownership, or registration without a standard broker-to-broker transfer.","IND, JNT, TRT, EST, ENT",Yes,Yes,"Public Fidelity forms specifically separate change of registration from address and beneficiary updates.",65
"doc_marginAgreement","Margin Agreement","Custodial","Contract and related risk disclosures permitting margin borrowing in eligible accounts.","IND, JNT, ENT",Yes,Yes,"Required if the account must preserve or reopen margin functionality. Public materials from LPL, Pershing, Raymond James, and Fidelity all treat this as a distinct permission set.",66
"doc_optionsApplicationOrOptionsAgreement","Options Application or Options Agreement","Custodial","Approval package for options trading, including strategy level and customer suitability information.","IND, JNT, IRA-T, IRA-R, ENT",Yes,Yes,"FINRA reminds firms that options approval requires due diligence and specific supervisory handling. Public custodian materials provide separate options applications or approvals.",67
"doc_federalOrStateTaxWithholdingElection","Federal or State Tax Withholding Election","Tax","Election form for withholding on retirement or beneficiary distributions and certain reportable payments.","IRA-T, IRA-R, IRA-I, EST, ANN",No,Yes,"Not always required because defaults may apply, but operationally important whenever the transfer includes distributions.",68
"doc_irsForm56","IRS Form 56","Tax","IRS notice concerning creation or termination of a fiduciary relationship.","EST, TRT",No,Yes,"Important for estates and fiduciary tax administration, though usually outside the custodian-opening gate itself.",69
"doc_costBasisTransferStatementOrLotHistory","Cost Basis Transfer Statement or Lot History","Tax","Supporting cost-basis record or lot-level history used to preserve accurate tax reporting after transfer.","IND, JNT, ENT, TRT",No,Yes,"Not always a transfer blocker, but a major post-transition risk area. Fidelity and Schwab both discuss basis accuracy and updates; statements and transfer support should preserve lot history where possible.",70
"doc_averageCostOrCostBasisElection","Average Cost or Cost Basis Election","Tax","Written election selecting or changing the cost-basis method for eligible positions.","IND, JNT, ENT, TRT",No,Yes,"Public LPL and BNY materials explicitly treat average-cost selection as a written election.",71
"doc_subscriptionAgreement","Subscription Agreement","Alternative Assets","Issuer-level subscription document for a private fund, limited partnership, private credit, or other alternative investment.","ALT, ENT, TRT, IND",Yes,Yes,"Core issuer document for private-placement and alternative holdings. Fidelity’s alternative investment profile explicitly requires issuer documents.",72
"doc_privatePlacementMemorandumReceiptOrAcknowledgment","Private Placement Memorandum Receipt or Acknowledgment","Alternative Assets","Investor acknowledgment that the offering memorandum or equivalent disclosure set was received and reviewed.","ALT",Yes,Yes,"Commonly sponsor-required in private offerings and necessary for evidencing offering-package delivery in alternative accounts. This is a standard inference from the issuer-document requirement and qualified-investor alternative access structure.",73
"doc_accreditedInvestorQuestionnaire","Accredited Investor Questionnaire","Alternative Assets","Questionnaire or certification establishing accredited-investor eligibility where the offering requires it.","ALT, IND, JNT, TRT, ENT",Yes,Yes,"Typically sponsor- or platform-required for private offerings available only to qualified investors. This is an inference supported by public alternative investment materials describing access restrictions and issuer-document intake.",74
"doc_qualifiedPurchaserOrQualifiedClientQuestionnaire","Qualified Purchaser or Qualified Client Questionnaire","Alternative Assets","Additional eligibility questionnaire for offerings requiring qualified purchaser or qualified client status beyond basic accreditation.","ALT, IND, JNT, TRT, ENT",Yes,Yes,"Needed for higher-threshold private offerings and should be treated separately from basic accredited-investor evidence. This is an inference from issuer-document intake plus qualified-investor access controls in alternative platforms.",75
"doc_sponsorTransferOrAssignmentConsent","Sponsor Transfer or Assignment Consent","Alternative Assets","Sponsor, GP, manager, or transfer-agent consent needed to re-register or transfer an alternative holding.","ALT, TRT, ENT, EST",Yes,Yes,"Especially important for non-ACAT direct-held alternatives, LP interests, and sponsor-controlled records.",76
"doc_insurancePolicyOrAnnuityContractCopy","Insurance Policy or Annuity Contract Copy","Insurance","Copy of the existing insurance policy or annuity contract used to verify owner, beneficiary, rider, surrender, and transfer details.","ANN",Yes,Yes,"Insurance and annuity products are contract-based; review cannot be done cleanly without the contract or policy evidence.",77
"doc_1035ExchangeForm","1035 Exchange Form","Insurance","Transfer/exchange paperwork used when replacing one annuity or insurance contract with another under Section 1035 rules.","ANN",Yes,Yes,"Public Schwab and Fidelity materials explicitly reference 1035 exchange handling for annuity transitions.",78
"doc_insuranceOrAnnuityReplacementOrSuitabilityForm","Insurance or Annuity Replacement or Suitability Form","Insurance","Replacement disclosure, suitability profile, or comparable insurer paperwork used when rolling from one annuity/policy to another.","ANN",Yes,Yes,"This is a standard insurance-operational requirement; insurer forms and annuity guidance show that suitability review is a defined paperwork set, not a verbal-only process.",79
"doc_mostRecentOutsideAccountStatement","Most Recent Outside Account Statement","Other","Latest statement from the delivering firm or company, used to validate registration, position details, and transfer instructions.","IND, JNT, IRA-T, IRA-R, TRT, ENT, ANN, ALT",Yes,Yes,"Public transfer forms from LPL and Pershing explicitly require an attached recent statement for processing.",80
"doc_medallionSignatureGuaranteeOrNotarialCertification","Medallion Signature Guarantee or Notarial Certification","Other","Signature authentication or notarization evidence used for sensitive ownership, authority, or security-transfer requests.","IND, JNT, TRT, EST, ENT, ANN",Yes,Yes,"Some transactions specifically require a medallion rather than a notary; Fidelity and BNY all make that distinction explicit.",81
"doc_physicalCertificateDepositOrStockOrBondPower","Physical Certificate Deposit or Stock or Bond Power","Other","Stock power, bond power, or certificate-deposit paperwork used to transfer physical certificates into street name or into the destination account.","IND, JNT, ENT, EST, TRT",Yes,Yes,"Still relevant whenever legacy physical certificates appear in a household. Schwab, Fidelity, and BNY all publish specific stock/bond power materials.",82
